City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,Anori,-3.77,-61.64,85.35,46,87,1.68,BR,2020-09-06 00:12:33
265,Ayagoz,47.97,80.44,43.18,63,26,12.82,KZ,2020-09-06 00:12:33
266,Boguchany,58.38,97.45,42.19,90,33,3.91,RU,2020-09-06 00:12:33
267,Kouango,4.99,19.96,70.99,95,100,2.42,CF,2020-09-06 00:12:34
268,Kousseri,12.08,15.03,82.4,83,40,6.93,CM,2020-09-06 00:10:06
269,Broome,42.25,-75.83,66.0,48,75,8.05,US,2020-09-06 00:08:55
270,Mukhen,48.1,136.1,73.42,58,100,5.1,RU,2020-09-06 00:12:34
271,East London,-33.02,27.91,63.88,71,100,10.36,ZA,2020-09-06 00:09:41
272,Poum,-20.23,164.02,72.52,72,39,11.77,NC,2020-09-06 00:12:35
273,High Level,58.52,-117.14,57.2,62,75,10.29,CA,2020-09-06 00:12:35
274,Kukuna,9.4,-12.67,72.41,97,100,3.06,SL,2020-09-06 00:12:35
275,Opuwo,-18.06,13.84,64.15,36,2,7.54,NA,2020-09-06 00:12:35
276,Bardiyah,31.76,25.09,75.49,68,0,8.34,LY,2020-09-06 00:12:36
277,Yellowknife,62.46,-114.35,51.8,50,40,6.93,CA,2020-09-06 00:09:05
278,Inyonga,-6.72,32.07,62.33,50,0,5.77,TZ,2020-09-06 00:12:36
279,Escarcega,18.61,-90.75,76.35,96,99,2.21,MX,2020-09-06 00:12:36
280,Aklavik,68.22,-135.01,41.0,50,90,6.93,CA,2020-09-06 00:09:37
281,Mahanoro,-19.9,48.8,63.73,89,56,6.93,MG,2020-09-06 00:12:36
282,Camocim,-2.9,-40.84,77.81,71,42,16.51,BR,2020-09-06 00:12:37
283,Gazanjyk,39.24,55.52,76.24,22,3,9.89,TM,2020-09-06 00:12:37
284,Juneau,58.3,-134.42,57.2,67,20,8.05,US,2020-09-06 00:11:43
285,Sitia,35.2,26.1,75.99,57,0,20.0,GR,2020-09-06 00:12:37
286,Lagoa,39.05,-27.98,68.43,75,52,21.65,PT,2020-09-06 00:09:22
287,Singarayakonda,15.25,80.03,82.35,79,98,4.5,IN,2020-09-06 00:12:37
288,Bilma,18.69,12.92,93.96,20,22,7.94,NE,2020-09-06 00:12:38
289,Rondonopolis,-16.47,-54.64,83.08,21,43,5.57,BR,2020-09-06 00:12:38
290,Rio Gallegos,-51.62,-69.22,42.8,70,20,3.36,AR,2020-09-06 00:12:19
291,Bilibino,68.05,166.44,44.56,56,0,4.27,RU,2020-09-06 00:12:38
292,Moberly,39.42,-92.44,87.01,62,0,1.01,US,2020-09-06 00:11:24
293,Manakara,-22.13,48.02,63.88,87,48,6.44,MG,2020-09-06 00:12:39
294,Kavaratti,10.57,72.64,82.9,79,100,10.04,IN,2020-09-06 00:12:39
295,Ola,59.58,151.28,48.83,84,100,10.04,RU,2020-09-06 00:09:46
296,Romitan,39.93,64.38,62.6,29,42,11.41,UZ,2020-09-06 00:12:39
